"","beta.mean[1]","beta.mean[2]","beta.mean[3]","beta.mean[4]","beta.mean[5]","beta.mean[6]","init.occ[1]","init.occ[2]","mu.alpha.phi","mu.d1.p","mu.d2.p","mu.d3.p","mu.gamma","tau.alpha.phi","tau.beta[1]","tau.beta[2]","tau.beta[3]","tau.beta[4]","tau.beta[5]","tau.beta[6]","tau.gamma","tau.p","tau.p1","tau.p2","tau.p3"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.431282838108018,0.996285689994693,0.606510246178284,0.930831474019215,0.899047055048868,0.291986825177446,0.876713484060019,0.10911140916869,-1.86219708548614,-7.53860715247228,-0.849182410483128,-3.63555527427094,-8.6527811767051,0.219889199276202,7.39184119213304,1.51127516306733,0.691088353301792,0.683474078424277,1.18409218330519,0.0788328833151503,2.72947458074216,0.370631809983682,0.927263466609127,2.1131873662497,57.2807733081835
"3",0.431282838108018,0.996285689994693,0.606510246178284,0.930831474019215,0.899047055048868,0.291986825177446,0.876713484060019,0.10911140916869,-3.82394253124911,-7.34144568734401,-0.718314365181672,-2.58977480870966,-8.4541035491033,0.219889199276202,7.39184119213304,1.72810382734036,0.691088353301792,0.993251000616032,1.18409218330519,0.23238073197945,2.83184365937454,0.370631809983682,0.927263466609127,3.44508669283614,57.6753523122322
"4",0.728682962715691,0.996285689994693,0.766140276698891,0.930831474019215,0.899047055048868,0.383341435996114,0.876713484060019,0.10911140916869,2.27109218424321,-6.99109238264339,-0.946169675164733,-2.56296888069368,-7.79380354773985,0.219889199276202,6.90564401899325,1.44985139256745,0.691088353301792,0.993251000616032,1.18409218330519,0.23238073197945,2.20612521282076,0.370631809983682,1.2083262927386,2.13270736472293,58.3255586755566
"5",0.728682962715691,0.996285689994693,0.766140276698891,0.930831474019215,0.899047055048868,0.383341435996114,0.876713484060019,0.205359635514385,-2.27774198058756,-8.12821174409575,-0.0480460256612772,-1.87228073068487,-7.17615374364323,0.219889199276202,6.48223698844623,0.164491441016377,0.691088353301792,0.993251000616032,2.30627664650147,0.23238073197945,0.236699948100253,0.370631809983682,1.2315058369143,0.951419565349281,58.3255586755566
"6",0.728682962715691,0.996285689994693,0.766140276698891,0.930831474019215,0.899047055048868,0.583118826627597,0.876713484060019,0.205359635514385,1.13358576810737,-8.49354236777868,-0.749891013966434,-1.81723487760452,-7.47721676292792,0.219889199276202,5.92456219053526,0.164491441016377,0.764543273110534,0.993251000616032,2.20117124899032,0.656322464130518,0.236699948100253,0.370631809983682,1.2315058369143,0.829076336067421,59.005651131319
"7",0.728682962715691,0.996285689994693,0.766140276698891,0.930831474019215,0.899047055048868,0.583118826627597,0.876713484060019,0.205359635514385,2.04426584240793,-8.12907605456832,0.000902254203449415,-1.71963996767215,-7.90436567633729,0.287650047173645,5.41902632772927,0.164491441016377,0.0987564958324747,0.813867803040712,2.20117124899032,0.921161375016858,0.236699948100253,0.320299135992239,1.2315058369143,0.765374508895156,57.0596935418628
"8",0.728682962715691,0.996285689994693,0.766140276698891,0.930831474019215,0.899047055048868,0.583118826627597,0.876713484060019,0.205359635514385,0.820512496622061,-6.98227160475433,0.0508418829496772,-1.3349781958125,-5.82360003945871,1.51934344824603,5.15471336318175,0.164491441016377,1.14332194963928,0.813867803040712,2.20117124899032,0.652110700730013,0.236699948100253,0.320299135992239,0.752675468008986,0.765374508895156,57.0596935418628
"9",0.728682962715691,0.996285689994693,0.766140276698891,0.853898129691788,0.770625300569111,0.583118826627597,0.876713484060019,0.205359635514385,1.23635231846039,-5.16002132063924,1.05605721725985,-0.535711470448204,-7.25357801626129,1.51934344824603,4.82727801203942,0.164491441016377,2.23092985821204,0.813867803040712,2.47525551724386,0.652110700730013,0.236699948100253,0.320299135992239,0.752675468008986,0.765374508895156,55.8692590044445
"10",0.728682962715691,0.996285689994693,0.766140276698891,0.949968445417799,0.770625300569111,0.766408063369397,0.876713484060019,0.205359635514385,1.95625484745418,-5.22522757133103,1.15017101407436,0.0506931425461797,-6.68798012431651,1.84662013099161,5.13979711434176,0.164491441016377,2.23092985821204,0.613680278564683,2.66721391456231,0.873407450507038,0.236699948100253,0.320299135992239,0.752675468008986,0.765374508895156,55.2795186795247
"11",0.728682962715691,0.996285689994693,0.766140276698891,0.552443992460874,0.770625300569111,0.766408063369397,0.876713484060019,0.205359635514385,2.8458926040733,-5.88043910671125,1.44411734235306,0.187660131471613,-6.05383648041996,1.22756987988355,5.13979711434176,0.164491441016377,1.54379256665756,0.510650425711108,2.33974398727196,0.873407450507038,0.879187141171633,0.320299135992239,0.752675468008986,0.765374508895156,54.8909692357567
"12",0.728682962715691,0.996285689994693,0.766140276698891,0.552443992460874,0.770625300569111,0.766408063369397,0.876713484060019,0.205359635514385,2.79711433336702,-7.71918431759083,0.857605562941259,1.17264612405483,-5.87376413708696,0.584004181397339,5.13979711434176,0.164491441016377,0.510950170254024,0.772748672905268,1.09396026855069,0.453963777215393,0.879187141171633,0.320299135992239,0.752675468008986,0.610155088802527,53.6528745103492
"13",0.728682962715691,0.996285689994693,0.766140276698891,0.494162683805073,0.770625300569111,0.676453919619237,0.876713484060019,0.205359635514385,3.08959205017046,-6.8583861324681,0.0480560546953352,2.41101120562342,-4.84964575364829,0.584004181397339,5.13979711434176,0.164491441016377,0.510950170254024,0.772748672905268,0.746883658906336,0.453963777215393,2.0281327924792,0.320299135992239,0.752675468008986,0.610155088802527,52.3715928916008
